"occurrences","user_arn","source_ip_address","user_agent"
"9","arn:aws:iam::811596193553:user/backup","246.109.177.250","aws-sdk-go/1.13.32 (go1.9.2; darwin; amd64) APN/1.0 HashiCorp/1.0 Terraform/0.11.7"
"9","arn:aws:iam::811596193553:user/backup","6.3.3.245","Boto3/1.6.10 Python/2.7.12 Linux/4.15.0-42-generic Botocore/1.10.8"
"9","arn:aws:iam::811596193553:user/backup","97.5.0.5","Boto3/1.7.75 Python/3.6.5 Linux/4.15.0-1015-gcp Botocore/1.10.75"
"9","arn:aws:iam::811596193553:user/backup","255.71.22.118","aws-cli/1.11.13 Python/3.5.2 Linux/4.4.0-142-generic botocore/1.4.70"
"9","arn:aws:iam::811596193553:user/Level6","255.171.1.252","Boto3/1.13.12 Python/3.8.5 Linux/4.19.76-linuxkit Botocore/1.16.12"
"9","arn:aws:iam::811596193553:user/Level6","241.28.172.222","aws-cli/1.18.103 Python/3.8.4 Darwin/19.6.0 botocore/1.17.26"
"9","arn:aws:iam::811596193553:user/backup","252.252.144.71","aws-cli/1.16.81 Python/3.6.8rc1 Linux/4.18.0-kali3-amd64 botocore/1.12.71"
"9","arn:aws:iam::811596193553:user/backup","255.171.1.252","Boto3/1.7.4 Python/3.8.2 Linux/4.9.184-linuxkit Botocore/1.10.4"
"9","arn:aws:iam::811596193553:user/backup","250.5.250.32","aws-cli/1.16.91 Python/3.7.2 Windows/10 botocore/1.12.81"
"9","arn:aws:iam::811596193553:user/Level6","252.55.248.249","Botocore/1.17.27 Python/3.8.2 Linux/5.4.0-40-generic"
"9","arn:aws:iam::811596193553:user/Level6","255.253.125.115","aws-sdk-java/1.11.60 Linux/4.4.0-78-generic Java_HotSpot(TM)_64-Bit_Server_VM/25.131-b11/1.8.0_131"
"8","arn:aws:iam::811596193553:user/Level6","4.239.255.179","Boto3/1.7.48 Python/3.6.7 Linux/4.15.0-50-generic Botocore/1.10.48"
"8","arn:aws:iam::811596193553:user/backup","154.112.9.253","aws-cli/1.16.291 Python/2.7.10 Darwin/16.7.0 botocore/1.13.27"
"8","arn:aws:iam::811596193553:user/backup","255.171.1.252","aws-cli/1.18.31 Python/3.8.2 Linux/4.9.184-linuxkit botocore/1.15.31"
"8","arn:aws:iam::811596193553:user/backup","254.102.255.231","Boto3/1.9.169 Python/3.5.3 Linux/4.9.0-6-amd64 Botocore/1.12.169"
"8","arn:aws:iam::811596193553:user/backup","253.64.5.29","aws-cli/1.16.140 Python/2.7.15+ Linux/4.18.0-kali2-amd64 botocore/1.12.130"
"8","arn:aws:iam::811596193553:user/backup","253.214.220.150","aws-cli/1.16.80 Python/3.7.2 Darwin/18.6.0 botocore/1.12.70"
"8","arn:aws:iam::811596193553:user/backup","227.252.83.216","aws-cli/1.16.90 Python/3.7.2 Darwin/18.6.0 botocore/1.12.80"
"8","arn:aws:iam::811596193553:user/backup","97.5.0.5","Boto3/1.7.71 Python/3.6.5 Linux/4.15.0-1015-gcp Botocore/1.10.71"
